track_id,track_name,artist_name,album_name,genre,release_year,popularity,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,explicit
SPOT041,Top Song 41,Arijit Singh,Album 21,Pop,2025.0,92,0.623,0.722,-7.78,0.063,0.358,0.071,0.429,0.258,177.31,170159,False
SPOT042,Top Song 42,Taylor Swift,Album 21,Hip-Hop,2024.0,71,0.518,0.58,-5.18,0.082,0.117,0.015,0.661,0.512,136.02,279473,True
SPOT043,Top Song 43,The Weeknd,Album 22,R&B,2023.0,99,0.449,0.58,-3.78,0.13,0.739,0.075,0.537,0.495,162.06,196540,True
SPOT044,Top Song 44,Drake,Album 22,Rock,2018.0,89,0.43,0.309,-9.4,0.179,0.41,0.15,0.644,0.639,151.24,154809,False
SPOT045,Top Song 45,Billie Eilish,Album 23,EDM,2018.0,75,0.62,0.388,-2.37,0.159,0.187,0.134,0.452,0.469,86.92,164489,False
SPOT046,Top Song 46,Ed Sheeran,Album 23,Pop,2023.0,57,0.662,0.879,-5.58,0.149,0.66,0.081,0.137,0.222,154.29,189764,False
SPOT047,Top Song 47,Dua Lipa,Album 24,Hip-Hop,2020.0,93,0.432,0.31,-7.2,0.156,0.306,0.087,0.638,0.461,128.97,247239,False
SPOT048,Top Song 48,Ariana Grande,Album 24,R&B,2023.0,96,0.867,0.946,-8.82,0.233,0.379,0.052,0.348,0.935,126.72,219836,False
SPOT049,Top Song 49,Bad Bunny,Album 25,Rock,2020.0,65,0.396,0.388,-8.98,0.055,0.121,0.128,0.168,0.459,169.16,251570,False
SPOT050,Top Song 50,Justin Bieber,Album 25,EDM,2025.0,73,0.843,0.535,-7.22,0.027,0.421,0.107,0.281,0.871,88.52,241865,False
SPOT051,Top Song 51,Post Malone,Album 26,Pop,2018.0,80,0.83,0.727,-9.35,0.221,0.692,0.012,0.23,0.805,153.57,200428,False
SPOT052,Top Song 52,Bruno Mars,Album 26,Hip-Hop,2024.0,76,0.492,0.817,-5.75,0.186,0.066,0.03,0.137,0.715,163.67,188638,True
SPOT053,Top Song 53,Harry Styles,Album 27,R&B,2019.0,92,0.67,0.465,-7.85,0.107,0.035,0.064,0.187,0.446,87.58,254592,False
SPOT054,Top Song 54,SZA,Album 27,Rock,2018.0,58,0.563,0.741,-6.16,0.154,0.558,0.112,0.431,0.623,114.77,198447,False
SPOT055,Top Song 55,Adele,Album 28,EDM,2025.0,99,0.548,0.935,-9.94,0.072,0.287,0.098,0.603,0.266,159.62,274040,True
SPOT056,Top Song 56,Doja Cat,Album 28,Pop,2020.0,85,0.596,0.968,-9.1,0.112,0.728,0.173,0.581,0.393,92.94,163234,False
SPOT057,Top Song 57,Coldplay,Album 29,Hip-Hop,2019.0,69,0.671,0.624,-3.29,0.067,0.727,0.142,0.18,0.752,130.63,217584,False
SPOT058,Top Song 58,Imagine Dragons,Album 29,R&B,2025.0,92,0.699,0.405,-6.15,0.142,0.058,0.067,0.137,0.248,178.95,266748,False
SPOT059,Top Song 59,Olivia Rodrigo,Album 30,Rock,2021.0,55,0.433,0.302,-9.07,0.129,0.462,0.159,0.119,0.838,153.33,192929,True
SPOT060,Top Song 60,Shawn Mendes,Album 30,EDM,2025.0,65,0.913,0.423,-9.47,0.19,0.439,0.168,0.141,0.796,96.17,238861,False
SPOT061,Top Song 61,Arijit Singh,Album 31,Pop,2022.0,59,0.491,0.731,-2.74,0.093,0.449,0.137,0.344,0.735,169.47,223340,False
SPOT062,Top Song 62,Taylor Swift,Album 31,Hip-Hop,2024.0,69,0.696,0.542,-6.87,0.142,0.069,0.046,0.403,0.524,109.95,233122,False
SPOT063,Top Song 63,The Weeknd,Album 32,R&B,2025.0,69,0.877,0.637,-4.07,0.152,0.748,0.15,0.51,0.784,90.03,217779,False
SPOT064,Top Song 64,Drake,Album 32,Rock,2019.0,59,0.876,0.533,-3.43,0.045,0.638,0.025,0.308,0.798,90.74,164382,False
SPOT065,Top Song 65,Billie Eilish,,EDM,2022.0,56,0.357,0.707,-5.48,0.185,0.457,0.165,0.673,0.457,98.87,205318,False
SPOT066,Top Song 66,Ed Sheeran,Album 33,Pop,2023.0,97,0.442,0.699,-5.95,0.161,0.033,0.174,0.656,0.624,148.15,210279,True
SPOT067,Top Song 67,Dua Lipa,Album 34,Hip-Hop,2024.0,96,0.813,0.555,-9.45,0.038,0.096,0.168,0.642,0.292,99.77,282717,True
SPOT068,Top Song 68,Ariana Grande,Album 34,R&B,2024.0,55,0.872,0.653,-5.27,0.112,0.06,0.067,0.572,0.203,110.02,213731,False
SPOT069,Top Song 69,Bad Bunny,Album 35,Rock,2020.0,92,0.558,0.536,-4.1,0.124,0.184,0.09,0.142,0.332,127.33,169956,False
SPOT070,Top Song 70,Justin Bieber,Album 35,EDM,2018.0,83,0.698,0.73,-9.9,0.173,0.15,0.192,0.147,0.511,83.96,212823,False
SPOT071,Top Song 71,Post Malone,Album 36,Pop,2018.0,86,0.39,0.81,-8.32,0.227,0.17,0.038,0.074,0.554,134.31,299521,False
SPOT072,Top Song 72,Bruno Mars,Album 36,Hip-Hop,2020.0,56,0.671,0.627,-6.02,0.196,0.095,0.067,0.099,0.765,103.59,281026,False
SPOT073,Top Song 73,Harry Styles,Album 37,R&B,2021.0,87,0.365,0.406,-4.27,0.172,0.04,0.044,0.2,0.704,77.07,222258,False
SPOT074,Top Song 74,SZA,Album 37,Rock,2021.0,62,0.41,0.465,-4.22,0.217,0.626,0.079,0.484,0.354,105.78,298399,True
SPOT075,Top Song 75,Adele,Album 38,EDM,2019.0,61,0.792,0.877,-9.02,0.222,0.489,0.141,0.642,0.669,110.27,296430,False
SPOT076,Top Song 76,Doja Cat,Album 38,Pop,2024.0,66,0.848,0.535,-3.81,0.103,0.649,0.044,0.683,0.785,86.99,169063,False
SPOT077,Top Song 77,Coldplay,Album 39,Hip-Hop,2024.0,86,0.605,0.315,-7.85,0.145,0.482,0.052,0.141,0.826,178.36,276678,False
SPOT078,Top Song 78,Imagine Dragons,Album 39,R&B,2023.0,72,0.668,0.854,-6.02,0.035,0.316,0.099,0.518,0.28,89.7,201226,False
SPOT079,Top Song 79,Olivia Rodrigo,Album 40,Rock,2023.0,81,0.708,0.708,-4.68,0.06,0.688,0.084,0.299,0.589,79.93,251371,False
SPOT080,Top Song 80,Shawn Mendes,Album 40,EDM,2018.0,90,0.813,0.346,-3.3,0.121,0.688,0.144,0.447,0.912,116.65,154853,True
SPOT081,Top Song 81,Arijit Singh,Album 41,Pop,2025.0,87,0.512,0.667,-8.7,0.214,0.638,0.191,0.151,0.667,124.79,250424,True
SPOT082,Top Song 82,Taylor Swift,Album 41,Hip-Hop,2018.0,55,0.647,0.768,-6.52,0.077,0.618,0.16,0.502,0.404,136.97,201474,False
SPOT083,Top Song 83,The Weeknd,Album 42,R&B,2020.0,71,0.92,0.603,-8.52,0.145,0.657,0.146,0.574,0.694,147.69,208053,False
SPOT084,Top Song 84,Drake,Album 42,Rock,2019.0,79,0.738,0.771,-9.59,0.174,0.052,0.118,0.7,0.617,124.69,194813,True
SPOT085,Top Song 85,Billie Eilish,Album 43,EDM,2024.0,63,0.466,0.378,-6.63,0.203,0.564,0.011,0.346,0.592,142.68,239613,False
SPOT086,Top Song 86,Ed Sheeran,Album 43,Pop,2020.0,98,0.422,0.352,-4.43,0.098,0.549,0.013,0.255,0.605,158.03,265608,False
SPOT087,Top Song 87,Dua Lipa,Album 44,Hip-Hop,2018.0,70,0.606,0.896,-6.66,0.126,0.743,0.0,0.171,0.488,172.92,246122,False
SPOT088,Top Song 88,Ariana Grande,Album 44,R&B,2021.0,83,0.81,0.573,-6.16,0.164,0.658,0.197,0.549,0.513,119.24,293748,False
SPOT089,Top Song 89,Bad Bunny,Album 45,Rock,2018.0,57,0.63,0.502,-3.18,0.185,0.45,0.055,0.642,0.234,86.49,272744,False
SPOT090,Top Song 90,Justin Bieber,Album 45,EDM,2021.0,91,0.822,0.361,-6.66,0.222,0.71,0.093,0.449,0.325,179.07,278583,False
SPOT091,Top Song 91,Post Malone,Album 46,Pop,2024.0,99,0.422,0.332,-6.93,0.028,0.719,0.165,0.571,0.672,97.71,196600,False
SPOT092,Top Song 92,Bruno Mars,Album 46,Hip-Hop,2019.0,96,0.659,0.634,-2.03,0.226,0.358,0.125,0.536,0.226,168.97,233300,True
SPOT093,Top Song 93,Harry Styles,Album 47,R&B,2018.0,57,0.514,0.624,-9.64,0.216,0.046,0.066,0.656,0.751,104.55,255595,False
SPOT094,Top Song 94,SZA,Album 47,Rock,2025.0,59,0.379,0.662,-2.3,0.045,0.673,0.198,0.09,0.862,129.19,234082,False
SPOT095,Top Song 95,Adele,Album 48,EDM,2025.0,94,0.757,0.685,-7.86,0.222,0.602,0.132,0.603,0.85,149.38,247624,False
SPOT096,Top Song 96,Doja Cat,Album 48,Pop,2021.0,81,0.802,0.408,-2.95,0.221,0.041,0.165,0.134,0.451,153.07,242241,False
SPOT097,Top Song 97,Coldplay,Album 49,Hip-Hop,2023.0,67,0.654,0.304,-7.7,0.162,0.736,0.126,0.219,0.676,131.7,282079,True
SPOT098,Top Song 98,Imagine Dragons,Album 49,R&B,2023.0,61,0.675,0.955,-7.27,0.166,0.7,0.021,0.659,0.716,82.12,273797,False
SPOT099,Top Song 99,Olivia Rodrigo,Album 50,Rock,2023.0,55,0.385,0.351,-3.18,0.248,0.514,0.089,0.471,0.646,115.28,207372,True
SPOT100,Top Song 100,Shawn Mendes,Album 50,EDM,2023.0,69,0.841,0.472,-9.99,0.057,0.362,0.189,0.116,0.841,130.34,225932,False
